STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,BEVNAT_EVENT,Ereignisart,CANTON,Kanton,LATE_REG,Nachmeldung,FREQ,Frequenz der Beobachtung,TIME_PERIOD,"Jahr, Monat, Tag",OBS_VALUE,Beobachtungswert,OBS_STATUS,Beobachtungsstatus
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-07,,173,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-08,,166,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-09,,167,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-10,,187,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-11,,172,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-12,,174,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-13,,176,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-14,,174,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-15,,205,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-16,,198,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-17,,174,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-18,,164,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-19,,158,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-20,,165,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-21,,159,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-22,,181,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-23,,174,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-24,,159,,A,Normaler Wert
DATAFLOW,CH1.BEVNAT:DF_BEVNAT_EVENEMENTS_1(1.0.0),"Statistik der natürlichen Bevölkerungsbewegung nach Kanton sowie Jahr, Monat und Tag des Ereignisses",I,4,Todesfall,8100,Schweiz,_T,Total,D,Täglich,1969-03-25,,165,,A,Normaler Wert
